Date,USD/CNY Close,EUR/USD Close,USD/JPY Close,BCHAIN/TOTBC,BCHAIN/MKTCP,BCHAIN/TRFEE,BCHAIN/TRFUS,BCHAIN/NTRAN,BCHAIN/NTRAT,BCHAIN/NTREP,BCHAIN/NADDU,BCHAIN/NTRBL,BCHAIN/TOUTV,BCHAIN/ETRAV,BCHAIN/ETRVU,BCHAIN/TRVOU,BCHAIN/MKPRU,BCHAIN/CPTRV,BCHAIN/CPTRA,BCHAIN/HRATE,BCHAIN/MIREV,BCHAIN/ATRCT,BCHAIN/BLCHS,BCHAIN/AVBLS,BCHAIN/MWTRV,BCHAIN/MWNUS,BCHAIN/MWNTD,BCHAIN/DIFF,gold_price,sp_closing_price,vix_closing_price
2018-03-31,6.2911,1.2323,106.21,16948887.5,116651254934.0,25.7646693,177326.152338,185940.0,307591536.0,176008.0,449629.0,1147.77777778,1280581.9594299998,177530.338549,1221858176.86,1352337905.12,6882.53166667,1.155162935,75.9086413754,27884074.371,13937126.625,7.166666666669999,162598.70396800002,0.625428123457,59230.38974369999,23933319.0,38870.0,3462542391190.0,1323.9,2640.8701170000004,19.969999
2018-04-01,6.2911,1.2323,106.21,16950487.5,117559767046.0,20.07447617,139226.12798800002,148617.0,307740153.0,143012.0,332752.0,1161.0703125,898889.563274,79395.44221810001,550645501.595,754226245.4260001,6935.48,2.04051319686,75.6036935747,22031861.2314,11096768.0,13.675,162685.273757,0.6763264765629999,30249.582211400004,23952849.0,32962.0,3462542391190.0,1323.9,2640.8701170000004,19.969999
2018-04-02,6.2765,1.23,105.86,16952512.5,115177149938.99997,18.28180544,124208.505749,135129.0,307875282.0,129732.0,316428.0,834.12962963,840298.930346,86133.1555543,585197702.8180001,722273399.9419999,6794.105,2.37223609456,102.733470467,28274794.2168,13758062.625,6.61666666667,162758.687953,0.453174049383,28392.697476999998,23967625.0,27949.0,3494288842680.0,1323.9,2581.879883,23.620001
2018-04-03,6.2893,1.227,106.58,16954462.5,119289026722.99997,21.39248333,150514.26818299998,168178.0,308043460.0,161581.0,377673.0,1078.06410256,1456075.2569,109735.64843800002,772083379.1719999,607508836.228,7035.84833333,1.7964923080000001,82.4746311538,27227579.6162,13719904.25,6.85,162847.079404,0.5666118653850001,41744.1292609,23986750.0,37282.0,3511060552900.0,1336.6,2614.449951,21.1
2018-04-04,6.3057,1.2281,106.74,16956500.0,125655041078.0,25.12929851,186219.033204,198919.0,308242379.0,190546.0,435410.0,1220.36196319,1314862.30791,133821.48108199998,991675387.16,750173781.592,7410.435,1.54132900177,76.8402231346,28449329.9836,15098761.3125,11.45,162957.232487,0.6757857852760001,43934.974387199996,24000284.0,44651.0,3511060552900.0,1343.15,2644.689941,20.059999
2018-04-05,6.3054,1.2232,107.44,16958337.5,115109153213.0,24.81899369,168465.413974,185710.0,308428089.0,178512.0,432977.0,1263.33333333,1419479.5949799998,110471.84036700001,749856523.287,678823367.239,6787.76166667,1.6857861582700002,68.068372605,25656757.7153,12472512.0625,11.375,163063.564399,0.7233463401360001,48083.1838388,24019181.0,41346.0,3511060552900.0,1327.05,2662.840088,18.940001
2018-04-06,6.3044,1.2288,106.8,16960287.5,115779572222.0,24.46293557,166996.47429800002,181832.0,308609921.0,174618.0,398397.0,1165.58974359,1042336.9435200001,112177.229079,765778976.079,609341543.744,6826.51,1.7601281042400003,74.127166694,27227579.6162,13311694.5,10.7,163164.378575,0.646244717949,52953.7471616,24033284.0,40207.0,3511060552900.0,1325.6,2604.469971,21.49
2018-04-07,6.3044,1.2288,106.8,16962012.5,112015038567.99997,34.53138383,228040.99994299997,172889.0,308782810.0,166690.0,471570.0,1252.81884058,1254753.79514,107182.630399,707820871.9660001,462008926.051,6603.87666667,1.64161989426,67.2091819025,24085935.8143,11431310.51,9.45,163278.179946,0.824647615942,36591.6978054,24052543.0,37889.0,3511060552900.0,1325.6,2604.469971,21.49
2018-04-08,6.3044,1.2288,106.8,16964262.5,117523117750.0,27.16559493,188194.76600899998,154639.0,308937449.0,149177.0,331188.0,859.105555556,743828.473961,94399.5931923,653970928.963,182056053.355,6927.688,2.41226208496,102.01496883700001,31416438.0187,15587298.0,9.35,163375.168462,0.5388250888889999,35378.6825578,24066521.0,36567.0,3511060552900.0,1325.6,2604.469971,21.49
2018-04-09,6.3053,1.2318,106.75,16966275.0,119063492862.0,21.01734283,147492.496027,138535.0,309075984.0,131197.0,311299.0,860.4658385089999,731975.430599,78142.0567083,548374125.206,326416046.978,7017.65666667,2.60233404199,103.01026121700001,28100258.4501,14130051.6983,9.875,163444.632196,0.431451763975,28449.540212199998,24077180.0,29423.0,3511060552900.0,1328.5,2613.159912,21.77
